"site","habitat_type","species","replicate","height_cm","leaf_area_cm2","biomass_g","chlorophyll_content","soil_moisture","soil_ph","temperature_C","light_intensity","nitrogen_ppm","phosphorus_ppm","potassium_ppm","growth_rate_cm_week"
"A","grassland","species2","5",67.27,48.73,14.5,45.69,0.485,5.43,22.99,511.2,51.55,27.86,30.19,4.471
"B","grassland","species2","5",62.13,54.48,6.85,43.12,0.414,6.34,21.87,605.6,34.73,16.16,32.75,3.38
"C","grassland","species2","5",48.96,44.17,11.13,41.88,0.341,5.11,19.57,697.6,26.65,9.81,30.16,3.444
"D","grassland","species2","5",51.84,40.42,13.48,43.06,0.343,6.84,19.67,435.2,27.83,18.6,29.52,6.37
"A","wetland","species2","5",60.2,48.43,6.74,40.73,0.852,6.05,20.49,437.5,47.37,23.07,37.46,2.74
"B","wetland","species2","5",49.26,43.75,7.94,41.24,0.766,5.5,22.67,587.9,42.75,19.31,32.01,5.05
"C","wetland","species2","5",48.64,27.6,11.16,40.34,0.717,5.95,19.83,399.8,33.8,11.38,35.8,2.299
"D","wetland","species2","5",50.33,50.47,4.97,39.93,0.864,5.91,19.66,484.6,29.35,12.83,38.14,2.602
"A","forest","species3","5",69.4,58.22,15.87,57.26,0.694,6.14,22.32,161.5,62.48,33.88,43.7,3.076
"B","forest","species3","5",50.18,45.63,11.18,51.31,0.618,5.79,22.4,108.4,42.66,22.34,29.69,5.01
"C","forest","species3","5",59.78,46.13,21.12,57.54,0.535,5.85,18.65,223.1,41.56,21.2,29.39,3.713
"D","forest","species3","5",66.25,34.21,21.48,56.8,0.624,6.34,19.86,315.6,35,17.53,37.98,4.268
"A","grassland","species3","5",55.76,52.09,8.5,48.05,0.434,5.91,22.01,702.9,39.44,19.16,30.02,3.51
"B","grassland","species3","5",48.7,36.36,19.12,53.41,0.356,5.46,20.99,693.4,41.68,19.09,31.93,0.723
"C","grassland","species3","5",41.13,39.09,12.06,49.52,0.329,6.46,21.54,512.9,36.49,13.22,27.03,0.372
"D","grassland","species3","5",44.97,56.45,0.74,49.23,0.431,5.55,21.01,666.8,26.54,14.11,30.58,4.38
"A","wetland","species3","5",41.69,21.8,3.69,45.8,0.859,7.06,24.31,433.9,45.52,21.29,36.61,1.869
"B","wetland","species3","5",44.87,49.43,5.43,47.36,0.808,5.8,20,510.4,28.58,15.88,34.31,3.705
"C","wetland","species3","5",39.83,28.19,7.51,45.26,0.867,5.9,19.89,288.6,38.03,20.01,31.42,1.609
"D","wetland","species3","5",56.21,44.39,9.6,41.17,0.716,6.01,20.01,369.9,35.51,19.19,35.95,3.982
"A","forest","species1","1",58.02,41.1,6.72,41.96,0.567,6.48,22.7,177,61.94,32.34,36.23,7.873
"B","forest","species1","1",54.69,38.77,5.7,45.47,0.629,6.06,21.52,122.6,46.96,20.51,26.89,6.827
"C","forest","species1","1",57.4,34.42,19.26,49.68,0.55,5.36,20.17,50,46.99,22.46,40.54,4.39
"D","forest","species1","1",62.71,51.43,14.86,47.19,0.633,6.23,19.68,316.3,38.71,21,32.89,4.727
"A","grassland","species1","1",60.61,53.22,14.17,42.81,0.407,6.16,21.99,652.7,48.56,25.12,28.61,3.714
"B","grassland","species1","1",46.9,35.65,9.78,41.4,0.309,6.22,21.85,595.4,36.32,12.27,33.37,3.93
"C","grassland","species1","1",46,20.61,13.6,42.54,0.358,5.58,18.98,515.7,32.85,14.29,29.47,3.993
"D","grassland","species1","1",51.82,37.43,13.93,44.32,0.443,6.13,19.63,743.5,22.57,7.75,35.96,3.342
"A","wetland","species1","1",57.57,50.18,14.45,33.89,0.759,7.13,23.37,479.5,41.11,17.34,30,4.43
"B","wetland","species1","1",44.11,28.08,21.57,32.11,0.858,5.84,20.05,386.3,39.85,19.28,34.73,4.308
"C","wetland","species1","1",47.94,32.45,7.9,36.83,0.818,5.53,19.2,535.2,34,15.14,38.08,3.17
"D","wetland","species1","1",55.3,32.54,16.32,34.04,0.808,6.18,19.73,373.9,35.94,24.64,37.63,5.45
"A","forest","species2","1",79.68,69.66,24.9,44.86,0.705,6.24,23.57,236.8,51.14,22.56,30.15,7.139
"B","forest","species2","1",61.16,42.24,14.93,51.08,0.595,5.63,22.01,211.9,49.36,21.14,33.07,6.869
"C","forest","species2","1",56.48,76.86,5.91,46.06,0.554,5.52,20.18,82.7,50.59,24.04,34.9,4.811
"D","forest","species2","1",64.25,61.53,12.3,59.36,0.65,6.7,22.53,269.7,36.04,19.95,34.08,4.257
"A","grassland","species2","1",71.87,55.84,19.04,45.17,0.446,6.81,21.5,518.4,41.97,21.12,25.02,1.082
"B","grassland","species2","1",53.5,42.83,8.97,47.2,0.441,6.05,23.46,505.9,35.15,22.81,40.1,2.278
"C","grassland","species2","1",50.49,33.22,11.93,47.28,0.324,5.55,18.47,534.9,24.72,10.74,25.64,2.957
"D","grassland","species2","1",59.91,50.74,10.65,42.04,0.354,6.54,19.99,775.8,27.78,18.05,32.32,4.252
"A","wetland","species2","1",65.39,52.39,17.43,41.82,0.857,6.35,23.52,410.5,38.36,18.08,32.59,5.029
"B","wetland","species2","1",50.66,23.23,17.73,38.76,0.903,5.92,21.59,298.7,38.66,20.71,33.5,5.357
"C","wetland","species2","1",58.73,28.55,9.45,43.2,0.77,6.13,20.39,368.9,32.85,18.11,27.08,0.909
"D","wetland","species2","1",50.36,46.3,5.04,44.39,0.83,6.4,18.41,349.2,31.94,19.59,33.25,3.453
"A","forest","species3","1",58.87,23.91,9.73,54.6,0.537,6.34,22.56,244.3,55.1,32,38.17,3.634
"B","forest","species3","1",56.21,41.17,11.79,47.73,0.572,6.29,20.6,400.4,50.79,22.29,28.52,3.052
"C","forest","species3","1",59.84,64.42,9.65,57.65,0.598,5.79,19.82,165.5,47.8,23.19,36.26,4.374
"D","forest","species3","1",59.26,30.78,6.69,53.3,0.601,5.91,21.24,135.2,36.67,20.28,34.03,4.943
"A","grassland","species3","1",58.55,49.79,21.67,54.59,0.443,6.96,21.98,609.7,39.35,18.29,25.96,2.18
"B","grassland","species3","1",52.32,57.55,8.67,50.95,0.395,5.23,20.42,757.1,30.16,19.12,33.04,2.53
"C","grassland","species3","1",42.51,39.12,13.69,48.51,0.321,5.82,18.9,468.4,22.88,11.33,32.36,4.545
"D","grassland","species3","1",51.52,54.07,6.42,47.51,0.322,5.88,21.33,760,24.27,8.57,28.49,1.917
"A","wetland","species3","1",61.04,39.16,11.49,47.57,0.899,6.11,21.87,545.1,40.2,25.9,34.82,5.221
"B","wetland","species3","1",45.47,42.7,11.74,43.43,0.764,6.01,21.59,546.8,40.33,18.73,38.47,3.519
"C","wetland","species3","1",36.24,30.82,6.59,48.91,0.674,5.41,18.29,326.4,35.5,21.99,36.34,1.839
"D","wetland","species3","1",49.97,53.48,14.78,48.67,0.786,6.36,20.45,328.9,20.28,14.54,33.15,2.786
"A","forest","species1","2",62.54,74.91,16.48,45.58,0.651,5.95,23.45,240.8,50.79,31.19,28.45,2.787
"B","forest","species1","2",50.71,41.71,11.56,48.08,0.594,6.52,20.28,251.7,54.43,28.53,41.43,4.149
"C","forest","species1","2",52.39,52.87,10.1,42.05,0.548,5.59,19.23,146.5,35.76,18.47,36.54,4.533
"D","forest","species1","2",55.5,40.37,5.48,42.2,0.658,6.57,19.83,154,37.78,20.28,26.82,5.642
"A","grassland","species1","2",62.9,46.73,10.05,37.11,0.414,6.42,23.17,688.2,42.3,19.3,24.86,4.748
"B","grassland","species1","2",49.27,33.88,4.74,37.56,0.397,4.92,20.36,694.7,39.18,23.83,27.02,2.031
"C","grassland","species1","2",41.17,19.39,7.79,39.42,0.287,6.4,19.27,587.4,28.87,20.59,25.72,1.967
"D","grassland","species1","2",61.11,49.62,13.63,45.75,0.43,6.73,22.19,644.2,24.78,14.14,32.07,5.041
"A","wetland","species1","2",56.45,44.77,15.63,39.11,0.918,6.13,22.46,459.1,49.35,26.1,30.88,4.438
"B","wetland","species1","2",54.11,50.51,8.9,39.91,0.857,6.48,20.5,463,42.28,26.52,32.5,4.715
"C","wetland","species1","2",41.43,31,4.42,36.61,0.794,6.07,19.52,471.9,32.38,16.12,32.27,4.143
"D","wetland","species1","2",48.35,29.53,10.53,32.82,0.86,6.45,19.88,418.3,26.75,13.01,33.51,4.365
"A","forest","species2","2",74.87,58.61,15.74,52.13,0.695,5.66,22.14,200.4,47.62,22.87,35.32,6.089
"B","forest","species2","2",68.15,72.92,15.15,49.38,0.669,5.42,20.12,266.2,46.86,15.24,33.53,5.901
"C","forest","species2","2",71.53,61.73,28.97,50.82,0.493,5.26,19.01,165.2,42.76,19.01,36.46,5.645
"D","forest","species2","2",60.83,51.41,18.86,52.9,0.772,6.49,19.93,185.2,25.12,10.49,38.31,6.476
"A","grassland","species2","2",64.08,61.83,10.93,47.06,0.465,6.48,23.33,730.5,32.69,11.3,24.97,4.625
"B","grassland","species2","2",60.39,66.23,17.69,38.8,0.532,6.71,19.8,778.6,36.23,17.07,33.78,2.029
"C","grassland","species2","2",51.71,58.47,7.62,38.53,0.458,5.32,18.88,398.8,34.54,15.46,32.02,3.102
"D","grassland","species2","2",57.06,41.34,4.01,50.11,0.471,5.69,18.49,630.4,23.95,15.38,31.58,6.145
"A","wetland","species2","2",55.49,43.6,18.58,38.64,0.814,6.55,22,349.7,45.96,23.71,27.61,4.588
"B","wetland","species2","2",50.61,36.85,11.66,39.02,0.827,5.53,19.59,393.9,42.82,22.98,33.3,3.359
"C","wetland","species2","2",46.08,34.85,10.1,38.65,0.745,5.72,20.34,319.6,34.33,12.99,29.23,4.689
"D","wetland","species2","2",54.59,48.19,8.39,40.2,0.816,6.03,20.38,412.5,26.32,12.88,28.59,3.835
"A","forest","species3","2",74.06,54.45,23.16,53.05,0.791,6.65,22.23,225.1,48.83,24.59,37.08,3.356
"B","forest","species3","2",53.69,31.3,12.67,52.98,0.619,5.67,20.34,50,51.3,25.62,26.8,3.433
"C","forest","species3","2",43.12,32.11,15.59,52.07,0.552,5.89,19.43,82.9,44.65,21.72,35.18,4.505
"D","forest","species3","2",61.48,63.68,15.43,59.34,0.625,6.42,19.49,202.3,35.58,14.75,31.69,5.942
"A","grassland","species3","2",57.44,64.48,15.48,52.87,0.356,6.44,24.23,767.4,37.65,19.95,33.16,2.455
"B","grassland","species3","2",46.98,33.55,5.71,51.99,0.358,6.59,21.13,623.2,32.84,18.84,29.31,4.427
"C","grassland","species3","2",46.18,45.21,11.06,48.29,0.27,5.81,19.56,570.9,30.35,12.87,21.39,2.922
"D","grassland","species3","2",36.47,27.88,2.2,48.58,0.454,5.99,21.06,632.8,18.31,13.65,24.49,1.081
"A","wetland","species3","2",52.23,40.57,0.5,45.6,0.852,6.38,23.67,372.4,50.98,26.19,32.03,6.38
"B","wetland","species3","2",44.23,28.64,14.08,46.89,0.743,5.61,21.61,438.1,39.68,22.58,31.51,4.487
"C","wetland","species3","2",43.03,18.64,16.24,45.52,0.827,5.98,18.75,422.2,39.02,19.42,38.27,4.75
"D","wetland","species3","2",46.69,55.38,12.06,51.19,0.869,6.75,20.07,354.4,30.94,14.14,38.15,2.362
"A","forest","species1","3",62.97,58.39,15.41,41.92,0.674,6.92,22.3,333.1,49.84,25.55,32.5,4.268
"B","forest","species1","3",59.86,29.97,15.19,45.57,0.632,5.56,21.09,189.4,45.14,25.91,38.6,2.877
"C","forest","species1","3",53.1,39,2.43,47.16,0.493,5.47,18.89,110,40.59,25.57,39.35,2.302
"D","forest","species1","3",61.55,64.79,8.8,45.02,0.601,5.95,19.28,213.4,34.44,18.98,38.28,2.111
"A","grassland","species1","3",65.78,53.69,11.5,47.47,0.472,6.35,22.99,694.5,38.67,22.59,34.47,4.231
"B","grassland","species1","3",47.29,39.76,9.21,39.49,0.345,6.12,20.63,642.3,30.94,16.62,31.1,0
"C","grassland","species1","3",38.75,39.5,9.87,35.69,0.486,5.09,19.02,503.6,34.33,17.83,27.95,0.611
"D","grassland","species1","3",46.6,47.19,16.12,37.58,0.486,5.97,19.54,734.3,19.05,12.32,25.04,4.945
"A","wetland","species1","3",51.88,47.78,19.12,39.98,0.906,6.62,23.79,404.9,43.88,18.96,29.65,5.97
"B","wetland","species1","3",40.06,36.2,8.55,41.03,0.803,6.4,24.46,384.9,35.13,16.97,33.89,4.547
"C","wetland","species1","3",41.75,48.15,12.01,35.79,0.679,6.46,18.45,352,41.78,23.49,33.12,5.1
"D","wetland","species1","3",59.05,64.34,11.71,32.41,0.876,6.28,19.97,388.2,27.98,11.37,28.53,7.983
"A","forest","species2","3",72.5,60.29,17.33,54.17,0.721,5.99,23.26,234.9,36.33,23.71,30.14,5.481
"B","forest","species2","3",66.89,51.43,19.56,50.16,0.616,6.04,20.27,157,47.44,23.65,39.59,2.839
"C","forest","species2","3",52.49,42.11,13.77,49.81,0.525,5.88,19.36,93,32.17,19.9,25.91,1.351
"D","forest","species2","3",64.89,55.41,12.11,46.96,0.65,6.32,20.1,303,33.62,18.03,33.22,4.596
"A","grassland","species2","3",67.83,47.49,18.6,44.95,0.474,6.67,25.78,696.7,42.4,23.02,34.03,6.611
"B","grassland","species2","3",53.23,49,15.84,46.32,0.361,6.25,20.72,638.5,31.02,12.62,30.92,2.363
"C","grassland","species2","3",53.93,30.25,8.59,48.36,0.32,5.07,20.77,419.6,24.33,14.65,33.61,3.186
"D","grassland","species2","3",61.47,71.44,16.25,45.68,0.431,6.51,20.22,672.4,28.06,10.65,35.34,3.715
"A","wetland","species2","3",58.84,22.23,17.79,42.91,0.9,6.79,23.67,413.3,39.68,17.67,32.61,3.181
"B","wetland","species2","3",48.14,40.24,14.38,45.95,0.913,6.48,24.61,463.3,39.92,20.23,32.18,3.637
"C","wetland","species2","3",58.79,46.44,12.12,40,0.694,5.37,19.35,311.4,40.31,19.78,34.16,5.298
"D","wetland","species2","3",54.04,48.7,15.93,39.92,0.791,5.88,19.12,448,27.17,8.65,36.32,3.97
"A","forest","species3","3",66.03,48.72,21.56,53.4,0.718,6.31,22.78,259.7,49.52,25.61,32.39,4.783
"B","forest","species3","3",55.73,68.61,7.24,55.39,0.605,5.54,20.14,148.2,45.93,21.42,45.62,3.425
"C","forest","species3","3",48.16,37.08,0.5,55.64,0.582,5.22,17.77,113.7,47.94,19.73,39.26,4.703
"D","forest","species3","3",54.37,43.73,16.44,55.36,0.576,6.73,20.2,172.6,36.61,17.98,40.14,5.035
"A","grassland","species3","3",52.32,53.1,7.44,54.57,0.433,6.06,22.32,631.8,38.7,19.13,26.3,1.741
"B","grassland","species3","3",52.57,49.03,7.77,50.02,0.416,6.23,21.95,569.8,39.91,17.12,35.59,4.033
"C","grassland","species3","3",38.07,32.26,11.78,51.31,0.303,6.07,19.84,538.3,23.26,12.62,38.29,0.554
"D","grassland","species3","3",54.34,41.77,4.8,50.98,0.481,6.02,19.5,699.5,25.84,16.06,31.7,2.866
"A","wetland","species3","3",62.03,47.28,15.31,46.9,0.787,6.29,23.84,272.9,41.58,24.63,37.8,4.08
"B","wetland","species3","3",50.79,27.08,22.78,49.04,0.842,5.05,20.89,369.9,45.84,25.86,31.34,4.742
"C","wetland","species3","3",39.31,37.74,2.9,47.03,0.758,5.92,18.6,474,32.35,17.75,32.16,2.575
"D","wetland","species3","3",45.3,40.72,7.49,52.26,0.754,6.6,19.71,419.7,27,11.63,32.16,3.682
"A","forest","species1","4",62.61,39.64,16.35,42.97,0.735,6.23,22.11,344.7,51.71,25.87,30.78,5.252
"B","forest","species1","4",57.91,44.45,13.62,46.8,0.609,6.09,22.14,323.8,44.83,21.87,33.61,3.31
"C","forest","species1","4",51.84,54.34,5.66,48.17,0.53,5.43,20.06,176.9,49.08,22.99,36.22,4.424
"D","forest","species1","4",61.78,62.17,14.82,43.23,0.649,6.54,18.93,140.9,43.19,23.01,33.3,5.941
"A","grassland","species1","4",56.98,33.37,10.79,38.44,0.44,6.55,23.05,552.3,43.57,21.19,24.29,4.985
"B","grassland","species1","4",53.15,50.54,6.59,42.12,0.386,5.64,21.25,578,34.02,9.61,35.22,3.488
"C","grassland","species1","4",48.57,40.12,15.65,39.7,0.316,5.86,20.39,376.5,32.04,19.85,30.72,2.277
"D","grassland","species1","4",58.38,50.59,21.43,37.69,0.449,5.91,19.35,535,24.22,16.24,35.56,2.439
"A","wetland","species1","4",68.25,45.88,7.82,40.87,0.797,6.73,24.99,479,42.8,20.68,32.77,4.257
"B","wetland","species1","4",47.99,36.32,16.03,32.93,0.807,5.65,18.19,462.6,29.36,15.54,35.53,4.994
"C","wetland","species1","4",39.12,10.71,9.31,35.97,0.741,5.79,19.33,335.5,40.34,21.97,30.53,3.353
"D","wetland","species1","4",49.61,32.3,13.41,37.72,0.803,6.35,18.8,539.3,36.98,20.48,28.15,6.164
"A","forest","species2","4",64.86,48.82,12.63,43.8,0.684,6.56,23.31,226.9,59.72,31.45,39.33,5.214
"B","forest","species2","4",63.65,63.95,16.81,52.2,0.621,5.74,21.68,61,42.65,27.72,40.93,5.486
"C","forest","species2","4",55.87,34.11,13.8,51.97,0.537,6.42,19.91,205.7,36.14,17.69,33.49,5.013
"D","forest","species2","4",68.03,57.44,24.57,51.53,0.646,6.62,19.85,225.2,36.12,18.26,37.86,3.814
"A","grassland","species2","4",63.66,51.82,22.21,42.5,0.367,7,22.25,609.6,37.26,16.77,31.9,4.019
"B","grassland","species2","4",48.1,24.84,8.53,48.36,0.352,5.45,22.02,562.4,34,17.68,25.56,3.95
"C","grassland","species2","4",50.18,42.97,5.27,46.7,0.354,5.71,18.65,660.2,28.65,16.09,37.9,2.271
"D","grassland","species2","4",51.23,56.79,13.58,46.82,0.496,5.97,20.6,624.6,29.95,15.25,28.34,2.915
"A","wetland","species2","4",66.49,62.59,8.1,46.78,0.792,5.86,21.42,488.3,47.81,21.41,30.42,5.105
"B","wetland","species2","4",42.85,45.6,11.82,41.48,0.72,5.33,20.06,432.7,39.54,22.7,36.66,5.237
"C","wetland","species2","4",46.29,34.9,7.47,47.19,0.754,5.7,19.84,422,39.19,23.27,33.71,3.205
"D","wetland","species2","4",57.29,55.41,18.73,41.12,0.821,5.71,20.01,473.4,35.4,12.65,31.73,5.482
"A","forest","species3","4",58.4,23.01,17.82,57.76,0.579,5.88,23.23,117,42.22,18.84,34.54,3.94
"B","forest","species3","4",63,37.86,21.99,56.41,0.6,6.02,20.26,147.9,46.25,23.5,24.63,5.544
"C","forest","species3","4",46.57,35.51,7.32,54.73,0.536,5.44,20.4,76.2,34.16,15.46,26.32,4.778
"D","forest","species3","4",56.47,46.26,22.49,53.63,0.629,5.48,17.78,249.6,46.41,23.58,36.12,2.721
"A","grassland","species3","4",58.82,52.22,9.33,49.26,0.396,6.27,21.58,679,36.46,13.44,22.46,2.753
"B","grassland","species3","4",46.31,44.27,3.73,47.01,0.371,5.83,21.61,800.9,28.44,13.12,22.89,4.823
"C","grassland","species3","4",37.82,25.66,8.42,50.78,0.316,6.27,19.17,594.8,29.39,12.17,31.04,0.965
"D","grassland","species3","4",53.05,37.62,13.91,51.3,0.477,5.78,21.03,597.4,26.05,17.38,31.66,3.229
"A","wetland","species3","4",52.38,38.41,17.69,53.09,0.824,6.1,21.72,650.6,47.84,22.27,35.41,5.046
"B","wetland","species3","4",47.53,32.41,12.7,44.72,0.781,6.33,19.86,470.3,34.1,21.41,35.15,5.395
"C","wetland","species3","4",37.48,28.73,3.86,46.84,0.658,5.24,19.64,264.6,35.89,17.23,31.88,2.944
"D","wetland","species3","4",43.21,43.35,13.63,44.18,0.822,6.55,19.7,406.6,30.47,13.04,35.39,3.036
"A","forest","species1","5",67.53,58.65,10.81,42.85,0.619,6.52,22.61,276.8,51.89,30.04,30.69,4.563
"B","forest","species1","5",61.25,44.6,19.39,42.69,0.644,5.95,20.58,190.1,48.37,25.42,39.83,6.814
"C","forest","species1","5",54.21,36.45,13.75,44.13,0.6,6.24,17.56,175.2,45.63,27.85,35.73,2.663
"D","forest","species1","5",60.71,47.52,15,51.52,0.601,6.49,20.61,278.6,30.02,15.1,37.02,0.532
"A","grassland","species1","5",50.26,38.13,6.52,43.05,0.375,6.33,22.02,619.2,40.34,17.88,28.54,3.313
"B","grassland","species1","5",57.26,58,9.37,42.41,0.382,6.19,21.51,583.1,27.99,10.71,30.61,4.844
"C","grassland","species1","5",44.8,13.14,14.94,37.58,0.35,5.73,19.92,660.1,31.09,19.73,30.9,2.898
"D","grassland","species1","5",48.68,29.21,12.59,45.65,0.373,5.65,18.21,559.8,27.74,11.28,24.62,3.823
"A","wetland","species1","5",55.99,51.01,9.78,43.02,0.817,5.86,22.47,525.7,44.07,22.26,27.07,4.311
"B","wetland","species1","5",48.31,45.27,11.57,34.48,0.823,6.31,22.01,421,35.55,19.78,35.53,6.357
"C","wetland","species1","5",34.41,21.02,14.44,37.62,0.822,6.24,20.18,342,31.92,12.4,33.15,4.874
"D","wetland","species1","5",53.59,40.78,9.64,37.75,0.757,6.44,21.37,440.5,42.59,25.78,23.55,5.266
"A","forest","species2","5",74.23,77.36,8.49,43.66,0.622,5.86,22.85,172.6,47.53,25.69,32.44,5.159
"B","forest","species2","5",69.01,44.22,18.73,52.62,0.487,5.97,20.35,361.3,52.37,17.87,34.96,5.014
"C","forest","species2","5",62.93,68.12,14.32,47.47,0.589,5.61,20.64,141.2,39.34,13.31,31.66,3.43
"D","forest","species2","5",63.31,53.82,10.54,52.45,0.652,6.2,18.15,285.9,42.79,17.81,31.92,4.546
"A","grassland","species2","5",62.55,60.53,10.53,46.48,0.496,5.88,23.24,753.3,31.99,17.13,27.08,3.469
"B","grassland","species2","5",50.02,34.76,11.31,46.25,0.401,6.38,21.03,628.3,33.89,18.35,24.32,3.275
"C","grassland","species2","5",48.19,27.35,10.1,46.96,0.323,6.33,21.28,546.1,29.72,13.35,35.64,1.533
"D","grassland","species2","5",62.72,54.16,14.43,47.36,0.318,6.27,20.1,629.6,27.09,10.31,31.04,6.401
"A","wetland","species2","5",70.96,60.98,15.04,43.08,0.882,5.87,22.34,473.2,48.24,26.04,30.01,4.312
"B","wetland","species2","5",56.64,41.06,15.36,39.38,0.861,6.3,20.84,450.1,39.92,22.48,25.07,4.647
"C","wetland","species2","5",37.85,21.51,3.15,39.39,0.782,5.63,18.91,331.8,29.95,13.85,30.02,1.632
"D","wetland","species2","5",59.11,60.29,9.04,39.37,0.788,6.65,20.73,420.2,24.34,9.7,34.15,3.854
"A","forest","species3","5",71.18,43.58,25.32,54.2,0.612,6.24,23.23,104,48.14,22.92,37.18,3.163
"B","forest","species3","5",59.09,61.56,18.55,55.6,0.595,5.34,19.74,301.1,44.02,28.16,37.38,2.911
"C","forest","species3","5",46.73,31.43,7.6,53.39,0.547,5.97,18.94,99.4,41.66,20.85,33.58,1.205
"D","forest","species3","5",64.32,32.63,8.43,57.54,0.641,6.3,21.04,178.9,25.71,10.55,34.34,4.788
"A","grassland","species3","5",61.65,71.12,0.5,49.49,0.512,6.43,23.19,710.8,37.28,16.83,29.46,1.972
"B","grassland","species3","5",51.31,44.84,15.78,44.43,0.456,5.53,20.72,699.8,34.97,17.12,30.86,4.186
"C","grassland","species3","5",41.09,22.18,9.52,55.68,0.368,4.74,19.38,594.4,31.18,19.17,30.57,3.966
"D","grassland","species3","5",55.23,40.43,13.98,54.03,0.365,5.78,18.86,566.2,18.39,9.44,31.53,2.41
"A","wetland","species3","5",55.56,36.5,13.05,52.45,0.807,6.05,22.72,455.1,44.52,22.95,24.57,7.44
"B","wetland","species3","5",44.66,38.88,9.08,49.94,0.741,6.24,22.11,434.5,36.16,20.17,44.11,5.35
"C","wetland","species3","5",47.44,39.29,15.59,41.66,0.803,5.5,20.22,373.8,33.72,11.73,31.67,2.416
"D","wetland","species3","5",51.79,29.02,13.44,46.84,0.738,5.37,18.82,435.7,27.26,15.5,33.12,5.252
"A","forest","species1","1",53.63,45.47,15.43,46.66,0.6,6.13,24.44,296.4,58.46,31.15,35.03,2.417
"B","forest","species1","1",55.87,37.95,12.27,46.31,0.61,6.19,20.18,272.6,40.28,25.69,36.47,1.214
"C","forest","species1","1",45.56,42.78,13.52,47.19,0.593,5.86,19.93,250,39.08,16.39,34.32,2.928
"D","forest","species1","1",63.94,57.18,16.03,46.65,0.639,6.61,16.83,292.8,30.9,16.35,33.09,4.459
"A","grassland","species1","1",57.79,45.89,13.77,34.44,0.485,6.58,21.41,665.8,40.44,19.76,29.24,3.995
"B","grassland","species1","1",54.51,35.71,13.72,39.82,0.383,6.38,21.32,523.9,32.12,12.5,32.58,2.302
"C","grassland","species1","1",47.34,33.17,14.17,39.05,0.315,5.74,19.1,618.6,34.27,16.01,27.89,4.446
"D","grassland","species1","1",53.11,32.36,5.85,40.3,0.334,6.17,20.01,615.9,25.83,13.29,30.49,2.211
"A","wetland","species1","1",56.57,53.6,2.88,32.58,0.847,6.8,23.63,486.2,51.07,22.38,33.04,2.977
"B","wetland","species1","1",45.19,49.7,12.56,36.43,0.867,6.17,21.37,304,40.07,16.63,30.39,0.649
"C","wetland","species1","1",43,34.9,7.45,38.91,0.759,6.28,17.8,347.3,36.56,15.69,32.99,3.877
"D","wetland","species1","1",44.46,38.94,0.51,35,0.89,6.3,21.01,408.1,33.19,11.16,35.1,2.57
"A","forest","species2","1",76.36,59,20.34,48.13,0.672,5.66,22.95,282.5,38.88,25.73,36.18,5.324
"B","forest","species2","1",61.03,51.01,10.33,51.22,0.611,5.98,20.54,96.3,33.29,19.79,37.23,1.553
"C","forest","species2","1",54.28,62.16,15.68,52.88,0.508,5.29,19.76,290.1,40.68,20.18,33.65,1.532
"D","forest","species2","1",64.37,54.11,16.29,47.14,0.629,6.36,19.73,496.7,26.43,18.23,34.59,3.477
"A","grassland","species2","1",74.37,72.85,20.98,48.53,0.401,5.72,24.91,477.7,42.61,26.46,35.35,4.992
"B","grassland","species2","1",46.21,39.45,0.61,44.95,0.455,5.65,22.24,773.2,37.09,19.22,39.01,2.406
"C","grassland","species2","1",48.26,24.85,4.41,50.07,0.3,5.91,19.42,601.1,38.07,16.87,29.45,6.905
"D","grassland","species2","1",58.53,34.92,17.86,51.63,0.39,6.35,19.28,825.7,20.38,6.18,33.49,3.475
"A","wetland","species2","1",59.31,37.71,12.06,45.55,0.912,6,23.26,493.7,47.72,26.02,26.65,5.039
"B","wetland","species2","1",49.94,38.96,20.61,42.55,0.767,5.71,20.76,400.7,39.53,23.41,33.21,5.344
"C","wetland","species2","1",48.91,38.02,9.62,43.16,0.806,5.53,19.62,233.5,38.74,21.1,39.49,4.807
"D","wetland","species2","1",56.11,56.81,1.95,38.6,0.811,6.01,20.24,413.1,33.28,21.33,29.75,3.194
"A","forest","species3","1",62.63,33.55,17.5,58.66,0.631,6.48,24.57,124.4,56.8,30.12,36.76,2.082
"B","forest","species3","1",58.84,36.61,9.05,60.33,0.582,6,19.87,117,42.32,20.69,31.43,2.543
"C","forest","species3","1",51.9,24.12,19.84,54.31,0.594,5.72,18.31,133,43.72,25.33,32.66,4.431
"D","forest","species3","1",62.43,55.08,23.15,55.47,0.545,5.91,21.14,295.2,32.27,16.62,43.54,4.15
"A","grassland","species3","1",51.36,36.63,18.12,48.61,0.375,6.57,24.87,620,49.76,24.35,33.19,5.829
"B","grassland","species3","1",44.16,16.94,10.76,47.41,0.426,6.31,23.37,637.2,40.31,21.26,30.16,3.484
"C","grassland","species3","1",42.04,25.43,5.38,53.84,0.413,6.27,19,445.3,33.97,15.3,32.22,3.442
"D","grassland","species3","1",55.8,34.68,12.36,45.79,0.524,5.64,20.5,666.8,30.11,19.51,30.28,4.762
"A","wetland","species3","1",52.35,44.86,8.57,50.35,0.891,6.29,23.24,278.6,38.69,17.38,31.83,4.701
"B","wetland","species3","1",39.84,37.44,4.76,43.09,0.842,5.85,20.52,428.2,47.08,28.42,22.33,3.289
